2023-09-13 11:17:15,669: 'd'
2023-09-13 11:17:15,869: 'd'
2023-09-13 11:17:16,085: 'd'
2023-09-13 11:17:16,621: Key.enter
2023-09-13 11:17:17,125: 'l'
2023-09-13 11:17:17,341: 'k'
2023-09-13 11:17:17,373: 'l'
2023-09-13 11:17:17,477: 'd'
2023-09-13 11:17:17,661: Key.enter
2023-09-13 11:17:17,861: 'd'
2023-09-13 11:17:17,949: Key.enter
2023-09-13 11:17:18,133: Key.enter
2023-09-13 11:17:18,205: 'd'
2023-09-13 11:17:18,341: 'k'
2023-09-13 11:17:18,373: 'l'
2023-09-13 11:17:18,493: 'l'
2023-09-13 11:17:18,677: 'd'
2023-09-13 11:17:18,797: 'l'
2023-09-13 11:17:19,045: 'l'
2023-09-13 11:17:19,125: 'd'
2023-09-13 11:17:19,453: Key.enter
